URL,Size,OutLinks,ContentType
https://www.washingtonpost.com/blogs/erik-wemple/wp/2017/09/29/on-fox-friends-jeanine-pirro-slanders-black-lives-matters-deray-mckesson/,158773,36,text/html
https://www.washingtonpost.com/news/the-watch/wp/2017/09/28/judges-are-terrible-at-distinguishing-good-science-from-bad-its-time-we-stopped-asking-them-to-do-it/,163608,29,text/html
https://www.washingtonpost.com/news/rampage/,132974,63,text/html
https://www.washingtonpost.com/opinions/the-culture-of-violence-infecting-the-dc-police-department/2017/09/29/d906ea5c-8745-11e7-a50f-e0d4e6ec070a_story.html,157387,41,text/html
https://www.washingtonpost.com/news/volokh-conspiracy/wp/2017/09/29/previewing-the-next-supreme-court-term/,150392,26,text/html
https://www.washingtonpost.com/people/alyssa-rosenberg/,73767,61,text/html
https://www.washingtonpost.com/people/erik-wemple/,73122,62,text/html
https://www.washingtonpost.com/people/tom-toles/,72888,65,text/html
https://www.washingtonpost.com/people/jonathan-h-adler/,72644,59,text/html
https://www.washingtonpost.com/news/the-watch/,130302,63,text/html
https://www.washingtonpost.com/people/ann-telnaes/,70876,59,text/html
https://www.washingtonpost.com/people/colbert-i-king/,73486,58,text/html
https://www.washingtonpost.com/news/democracy-post/wp/2017/09/29/she-tried-to-run-against-rwandan-president-paul-kagame-now-shes-looking-at-20-years-in-prison/,156864,29,text/html
https://www.washingtonpost.com/opinions/public-private-partnerships-are-in-danger-because-of-the-purple-line-legal-challenge/2017/09/29/279ab356-9e2a-11e7-8ea1-ed975285475e_story.html,157077,31,text/html
https://www.washingtonpost.com/people/alexandra-petri/,71235,59,text/html
https://www.washingtonpost.com/opinions/the-gop-needs-more-men-like-this/2017/09/29/4890750c-a55d-11e7-b14f-f41773cd5a14_story.html,157264,39,text/html
https://www.washingtonpost.com/news/democracy-post/,128801,77,text/html
https://www.washingtonpost.com/opinions/what-protesting-nfl-players-like-me-want-to-do-next/2017/09/30/507fc4b0-a513-11e7-b14f-f41773cd5a14_story.html,158948,42,text/html
https://www.washingtonpost.com/news/rampage/wp/2017/09/28/free-speech-and-good-vs-bad-polls/,166872,49,text/html
https://www.washingtonpost.com/opinions/montgomerys-mental-health-courts-are-in-high-demand/2017/09/22/b471d68c-9278-11e7-8754-d478688d23b4_story.html,157656,39,text/html
https://www.washingtonpost.com/people/karen-attiah/,72199,61,text/html
https://www.washingtonpost.com/entertainment/theater_dance/signature-opens-season-with-a-little-night-music-one-of-sondheims-precious-gems/2017/08/24/68ad4336-88cc-11e7-9ce7-9e175d8953fa_story.html,161509,34,text/html
https://www.washingtonpost.com/people/emily-heil/,72811,59,text/html
https://www.washingtonpost.com/news/reliable-source/wp/2015/05/07/shakespeare-theatre-director-michael-kahn-is-tying-the-knot/,152626,29,text/html
https://www.washingtonpost.com/business/economy/getting-relief-supplies-to-puerto-rico-ports-is-only-half-the-problem/2017/09/28/9ff558a6-a460-11e7-8cfe-d5b912fabc99_story.html,193018,29,text/html
https://www.washingtonpost.com/investigations/us-responded-to-haiti-quake-more-forcefully-than-to-puerto-rico-disaster/2017/09/28/74fe9c02-a465-11e7-8cfe-d5b912fabc99_story.html?hpid=hp_hp-top-table-main_mariaresponse-815pm%3Ahomepage%2Fstory&utm_term=.d5418c592a60,143028,30,text/html
https://www.washingtonpost.com/amphtml/business/economy/getting-relief-supplies-to-puerto-rico-ports-is-only-half-the-problem/2017/09/28/9ff558a6-a460-11e7-8cfe-d5b912fabc99_story.html,76157,40,text/html
https://www.washingtonpost.com/people/steven-mufson/,74168,62,text/html
https://www.washingtonpost.com/national/puerto-ricos-humanitarian-crisis-nowhere-more-obvious-than-at-hospitals/2017/09/28/a201bc0a-a47b-11e7-b14f-f41773cd5a14_story.html?hpid=hp_hp-top-table-main_mariahospitals-815a%3Ahomepage%2Fstory&utm_term=.8404f79cbc4d,164865,31,text/html
https://www.washingtonpost.com/lifestyle/style/how-howard-shalwitz-led-woolly-mammoths-stampede/2017/06/08/fa789af4-470e-11e7-bcde-624ad94170ab_story.html?utm_term=.df0079f68b75,169404,56,text/html
https://www.washingtonpost.com/amphtml/entertainment/theater_dance/the-arsonists-at-woolly-dramatizes-the-modern-world-on-fire/2017/09/13/614bca94-9890-11e7-87fc-c3f7ee4035c9_story.html,46032,43,text/html
